Title,URL,Time
Backblaze has stopped backing up your data,https://rareese.com/posts/backblaze/,N/A
A new spam policy for “back button hijacking”,https://developers.google.com/search/blog/2026/04/back-button-hijacking,N/A
Someone bought 30 WordPress plugins and planted a backdoor in all of them,https://anchor.host/someone-bought-30-wordpress-plugins-and-planted-a-backdoor-in-all-of-them/,N/A
Introspective Diffusion Language Models,https://introspective-diffusion.github.io/,N/A
introspective-diffusion.github.io,from?site=introspective-diffusion.github.io,N/A
Franklin's bad ads for Apple ][ clones and the beloved impersonator they depict,https://buttondown.com/suchbadtechads/archive/franklin-ace-1000/,N/A
Lean proved this program correct; then I found a bug,https://kirancodes.me/posts/log-who-watches-the-watchers.html,N/A
Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,https://ciphercue.com/blog/ransomware-claims-grew-faster-than-security-spend-2025,N/A
The M×N problem of tool calling and open-source models,https://www.thetypicalset.com/blog/grammar-parser-maintenance-contract,N/A
A soft robot has no problem moving with no motor and no gears,https://engineering.princeton.edu/news/2026/04/08/soft-robot-has-no-problem-moving-no-motor-and-no-gears,N/A
WiiFin – Jellyfin Client for Nintendo Wii,https://github.com/fabienmillet/WiiFin,N/A
Multi-Agentic Software Development Is a Distributed Systems Problem,https://kirancodes.me/posts/log-distributed-llms.html,N/A
MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,https://github.com/lasect/pg_6502,N/A
Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,https://github.com/sterlingcrispin/nothing-ever-happens,N/A
Design and implementation of DuckDB internals,https://duckdb.org/library/design-and-implementation-of-duckdb-internals/,N/A
Lumina – a statically typed web-native language for JavaScript and WASM,https://github.com/nyigoro/lumina-lang,N/A
US appeals court declares 158-year-old home distilling ban unconstitutional,https://nypost.com/2026/04/11/us-news/us-appeals-court-declares-158-year-old-home-distilling-ban-unconstitutional/,N/A
TanStack Start Now Support React Server Components,https://tanstack.com/blog/react-server-components,N/A
N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,https://ndaybench.winfunc.com,N/A
Make tmux pretty and usable (2024),https://hamvocke.com/blog/a-guide-to-customizing-your-tmux-conf/,N/A
"Write less code, be more responsible",https://blog.orhun.dev/code-responsibly/,N/A
How to make Firefox builds 17% faster,https://blog.farre.se/posts/2026/04/10/caching-webidl-codegen/,N/A
Android now stops you sharing your location in photos,https://shkspr.mobi/blog/2026/04/android-now-stops-you-sharing-your-location-in-photos/,N/A
Building a CLI for all of Cloudflare,https://blog.cloudflare.com/cf-cli-local-explorer/,N/A
Anastasia (1997) live action reference material,https://lostmediawiki.com/Anastasia_(partially_found_live-action_reference_material_for_Don_Bluth_animated_film;_1997),N/A
British Broadcasting Corporation,/,N/A
LIVEUS-sanctioned ships pass Strait of Hormuz as China calls Trump's blockade 'dangerous'Two ships have visited Iranian ports while two are linked to China. The US previously said it would stop vessels travelling to or from Iran.,https://www.bbc.com/news/live/cp9vm5ezxz4t,N/A
"Hospital at centre of child HIV outbreak caught reusing syringes in undercover filmingFootage shows staff in Pakistan injecting without gloves and reusing syringes, but the hospital boss refuses to acknowledge it is genuine.11 hrs agoAsia",/news/articles/clyrd818gd2o,N/A
South Korea jails 90-year-old woman for laundering son's drug moneyThe woman has been sentenced to a year in jail for laundering money for her son who is imprisoned in Cambodia.4 hrs agoAsia,/news/articles/c70554w89rlo,N/A
Retrial over death of Argentina legend Maradona to beginThe first trial - which saw members of Maradona's medical team accused of poor care - collapsed after a judge let cameras into the court.31 mins agoLatin America,/news/articles/cj377mm7zzvo,N/A
"Lebanon seeks peace, but Hezbollah needs to be convinced firstThe Lebanese government go into peace talks with limited influence over the group.11 hrs agoBBC InDepth",/news/articles/cr51l794mlyo,N/A
"Founder of China's Evergrande pleads guilty to fraudEvergrande was once China's biggest real estate firm, with a stock market valuation of more than $50bn.6 hrs agoBusiness",/news/articles/cn788ymy5gno,N/A
"Greek police using masked migrants to forcibly push other migrants back across borderMercenaries recruited since at least 2020 for illegal migrant ‘pushbacks’ in Greece, BBC told6 hrs agoEurope",/news/articles/c86vpq42dl0o,N/A
Harry and Meghan mix charity and business on Australia visitThere are questions over whether local taxpayers are picking up any of the bill for policing the visit.1 hr agoAustralia,/news/articles/cvgk3vpyzdqo,N/A
How Trump’s Jesus-like image and feud with the Pope are sparking backlash,/news/videos/c624dy3pgg2o,N/A
Police officers among seven arrested over deadly Haiti stampede,/news/articles/cy811062y5yo,N/A
Sixteen injured after ex-student opens fire at high school in Turkey,/news/articles/c2k33xk24nyo,N/A
Hungary's next PM would pick up if Putin calls and tell him to stop Ukraine war,/news/articles/cd6lzezp4zvo,N/A
Carney says Canadians trust his plan after he wins majority,/news/articles/cp9vmepn010o,N/A
"'They are striking everywhere' - Paramedics in Lebanon speak to BBC after Israeli strikesBBC Middle East correspondent Hugo Bachega joins paramedics on duty in Nabatieh - a city that was once vibrant, but is now abandoned.",/news/videos/cwyk8rz1pzyo,N/A
Oil prices ease on hopes of new US-Iran peace talksCrude prices fall back below $100 a barrel as markets hope an agreement can be reached between the two sides.,/news/articles/cjr9qrnp821o,N/A
US blockade of Iranian ports explained in two minutesThe BBC's security correspondent Frank Gardner explains how the US blockade of Iranian ports will work.,/news/videos/cd9vg5vggvqo,N/A
"Israelis war-weary but most oppose Iran ceasefire, poll suggestsThe vast majority did not believe Hezbollah or Iran had been severely weakened by weeks of Israeli and US attacks, according to the poll.",/news/articles/clyxgxyeqpgo,N/A
How many ships are crossing the Strait of Hormuz?The first vessel has crossed the Strait of Hormuz after the US imposed a military blockade of Iran's ports.,/news/articles/c3w39lg84w2o,N/A
"Wins and challenges: New York Mayor Zohran Mamdani's first 100 daysMamdani has made progress on pledges for free child care and city-owned grocery stores, but many goals remain.14 hrs agoUS & Canada",/news/articles/czd782pjgq3o,N/A
What's changed since Harry and Meghan last visited Australia in 2018?BBC News journalist Simon Atkinson explains how the couple's tour will be different compared to their last visit.1 hr agoAustralia,/news/videos/c70dd4975r2o,N/A
"Can this man broaden the appeal of a South African party seen by some as 'too white'?The Democratic Alliance's new leader, Geordin Hill-Lewis, admits the party's support is too narrow.11 hrs agoAfrica",/news/articles/cj948p84jjxo,N/A
